Number of interventions,Set number,Force Set,Type of regulation,Min flux in Wild Type (mmol/gDW hr),Max flux in Wild Type (mmol/gDW hr),Min flux in Mutant (mmol/gDW hr),Max flux in Mutant (mmol/gDW hr),Achieved flux (mmol/gDW hr),Objective function (mmol/gDW hr),Minimum guaranteed for target (mmol/gDW hr),Maximum guaranteed for target (mmol/gDW hr),Maximum growth rate (1/hr)
,,DHAtex,knockout,-122.2864964,0,0,0,0,,,,
,,FE2tex,knockout,-144.2958162,195.2048304,0,400,0,,,,
,,NH4tex,knockout,97.207416,100,0,42.3826087,0,,,,
,,NADK,knockout,0.004023,198.4943319,0,121.85,0,,,,
,,O2tex,knockout,51.22321764,100,0,100,0,,,,
,,PUNP1,knockout,-198.4963659,198.4903089,-121.85,121.85,0,,,,
10,14,SDPTA,upregulation,-4.734833,-3.338541,0,0,0,400,400,400,0
,,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,,,,
,,EX_hxa_e,knockout,0,85.35291483,0,0,0,,,,
,,EX_pi_e,knockout,-33.49296761,-8.681679,0,0,0,,,,
,,ACACT5r,knockout,-39.72428212,11.580672,0,0,0,,,,
,,ACtex,knockout,-432.7522656,0,0,0,0,,,,
,,FA120ACPHi,knockout,0,198.4903089,0,121.85,0,,,,
,,FACOAL141t2pp,knockout,0,75.61535576,0,46.41904762,0,,,,
,,HCO3E,knockout,4.732605,203.2229139,0,121.85,0,,,,
,,PPA,knockout,0,198.4903089,0,121.85,0,,,,
10,15,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,400,400,400,0
,,EX_o2_e,knockout,-100,-51.22321764,-100,0,0,,,,
,,EX_pi_e,knockout,-33.49296761,-8.681679,0,0,0,,,,
,,ACACT5r,knockout,-39.72428212,11.580672,0,0,0,,,,
,,GDMANE,knockout,0,0,0,0,0,,,,
,,FEROpp,knockout,0,48.77678236,0,100,0,,,,
,,NI2t3pp,knockout,0,793.9612355,0,487.4,0,,,,
,,PPA,knockout,0,198.4903089,0,121.85,0,,,,
,,PPK,knockout,-1000,166.9580169,-1000,121.85,0,,,,
,,THD2pp,knockout,0,407.0931518,0,243.7,0,,,,
10,16,ATPS4rpp,downregulation,16.60212156,479.7074442,-96.85,65.61666667,-96.85,400,400,400,0
,,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,,,,
,,EX_o2_e,knockout,-100,-51.22321764,-100,0,0,,,,
,,EX_pi_e,knockout,-33.49296761,-8.681679,0,0,0,,,,
,,ACACT5r,knockout,-39.72428212,11.580672,0,0,0,,,,
,,FEROpp,knockout,0,48.77678236,0,100,0,,,,
,,MCITL2,knockout,0,109.7477603,0,54.15555556,0,,,,
,,PPA,knockout,0,198.4903089,0,121.85,0,,,,
,,PPK,knockout,-1000,166.9580169,-1000,121.85,0,,,,
,,PYK,knockout,0,450.3998616,0,196.85,0,,,,
10,17,SUCCtex,downregulation,-211.6196086,0,-400,-400,-400,400,400,400,0
