,comb,obj,obj_rand
287,"('TPI', 'ENO', 'PYK')",6.8440541549193625,5.827059049903976
288,"('GAPD', 'PGK', 'PGM')",6.128601626962345,5.14835199388129
289,"('GAPD', 'PGK', 'ENO')",6.128601626962345,6.127988294000411
290,"('GAPD', 'PGK', 'PYK')",6.22063450180105,6.537095573898722
291,"('GAPD', 'PGM', 'ENO')",6.128601626962341,5.460873286770479
292,"('GAPD', 'PGM', 'PYK')",6.128601626962341,5.689088858228175
293,"('GAPD', 'ENO', 'PYK')",6.128601626962341,5.675893737624761
294,"('PGK', 'PGM', 'ENO')",6.128601626962341,7.0390343305212415
295,"('PGK', 'PGM', 'PYK')",6.128601626962341,5.362083644609725
296,"('PGK', 'ENO', 'PYK')",6.128601626962341,6.964144063001048
297,"('PGM', 'ENO', 'PYK')",6.846287701370937,6.230992922894823
298,"('GLCabcpp', 'GLCptspp', 'HEX1', 'PGI')",8.419186303095207,8.808506620801701
299,"('GLCabcpp', 'GLCptspp', 'HEX1', 'PFK')",8.45170343363633,8.691801567239699
300,"('GLCabcpp', 'GLCptspp', 'HEX1', 'FBA')",8.45170343363633,8.355155424768029
301,"('GLCabcpp', 'GLCptspp', 'HEX1', 'TPI')",7.781409504321017,8.713116884937607
302,"('GLCabcpp', 'GLCptspp', 'HEX1', 'GAPD')",6.220634501801103,5.340882547959584
303,"('GLCabcpp', 'GLCptspp', 'HEX1', 'PGK')",6.220634501801104,6.364611507555617
304,"('GLCabcpp', 'GLCptspp', 'HEX1', 'PGM')",6.846287701370986,7.932297540526678
305,"('GLCabcpp', 'GLCptspp', 'HEX1', 'ENO')",6.846287701370986,7.986625313549275
306,"('GLCabcpp', 'GLCptspp', 'HEX1', 'PYK')",8.4517034336364,8.823078905449547
307,"('GLCabcpp', 'GLCptspp', 'PGI', 'PFK')",8.451703433636403,8.325169555614934
308,"('GLCabcpp', 'GLCptspp', 'PGI', 'FBA')",8.451703433636403,10.103788791258834
309,"('GLCabcpp', 'GLCptspp', 'PGI', 'TPI')",7.7814095043210125,9.219426612976225
310,"('GLCabcpp', 'GLCptspp', 'PGI', 'GAPD')",6.220634501801029,5.645329443483174
311,"('GLCabcpp', 'GLCptspp', 'PGI', 'PGK')",6.220634501801024,7.366089189125146
312,"('GLCabcpp', 'GLCptspp', 'PGI', 'PGM')",6.78608703637093,7.322637532248271
313,"('GLCabcpp', 'GLCptspp', 'PGI', 'ENO')",6.78608703637093,7.409921016063776
314,"('GLCabcpp', 'GLCptspp', 'PGI', 'PYK')",8.451703433636311,8.454384580820015
315,"('GLCabcpp', 'GLCptspp', 'PFK', 'FBA')",8.451703433636315,7.197807716911547
316,"('GLCabcpp', 'GLCptspp', 'PFK', 'TPI')",7.781409504321033,7.035332987778964
317,"('GLCabcpp', 'GLCptspp', 'PFK', 'GAPD')",6.220634501801136,5.457790102392446
318,"('GLCabcpp', 'GLCptspp', 'PFK', 'PGK')",6.220634501801136,5.070939291110099
319,"('GLCabcpp', 'GLCptspp', 'PFK', 'PGM')",6.846287701371024,7.142772492346224
320,"('GLCabcpp', 'GLCptspp', 'PFK', 'ENO')",6.846287701371024,7.734809513128496
321,"('GLCabcpp', 'GLCptspp', 'PFK', 'PYK')",8.451703433636434,9.167212435429928
322,"('GLCabcpp', 'GLCptspp', 'FBA', 'TPI')",7.781409504321047,7.780670406882041
323,"('GLCabcpp', 'GLCptspp', 'FBA', 'GAPD')",6.2206345018011655,5.956927206701365
324,"('GLCabcpp', 'GLCptspp', 'FBA', 'PGK')",6.2206345018011655,6.004356428834466
325,"('GLCabcpp', 'GLCptspp', 'FBA', 'PGM')",6.846287701370997,6.3772485652516435
326,"('GLCabcpp', 'GLCptspp', 'FBA', 'ENO')",6.846287701370997,5.624220940153973
327,"('GLCabcpp', 'GLCptspp', 'FBA', 'PYK')",8.45170343363641,9.282874669506102
328,"('GLCabcpp', 'GLCptspp', 'TPI', 'GAPD')",0.0,1.4090517892534895
329,"('GLCabcpp', 'GLCptspp', 'TPI', 'PGK')",0.0,0.9544138878930066
330,"('GLCabcpp', 'GLCptspp', 'TPI', 'PGM')",6.844054154919366,6.707367562235206
331,"('GLCabcpp', 'GLCptspp', 'TPI', 'ENO')",6.844054154919366,5.962970766148666
332,"('GLCabcpp', 'GLCptspp', 'TPI', 'PYK')",7.781409504321001,8.450931833208182
333,"('GLCabcpp', 'GLCptspp', 'GAPD', 'PGK')",6.2206345018011,6.688420339766248
334,"('GLCabcpp', 'GLCptspp', 'GAPD', 'PGM')",6.128601626962384,6.301283708860162
335,"('GLCabcpp', 'GLCptspp', 'GAPD', 'ENO')",6.128601626962384,5.796184424419303
336,"('GLCabcpp', 'GLCptspp', 'GAPD', 'PYK')",6.220634501801094,5.245571848465436
337,"('GLCabcpp', 'GLCptspp', 'PGK', 'PGM')",6.12860162696238,5.47726614263856
338,"('GLCabcpp', 'GLCptspp', 'PGK', 'ENO')",6.12860162696238,5.849856850621525
339,"('GLCabcpp', 'GLCptspp', 'PGK', 'PYK')",6.220634501801098,6.380266490095067
340,"('GLCabcpp', 'GLCptspp', 'PGM', 'ENO')",6.846287701371002,8.201768854953489
341,"('GLCabcpp', 'GLCptspp', 'PGM', 'PYK')",6.846287701371002,7.719805533889837
342,"('GLCabcpp', 'GLCptspp', 'ENO', 'PYK')",6.846287701371002,5.535916845344529
343,"('GLCabcpp', 'HEX1', 'PGI', 'PFK')",8.471787543676527,9.347821396152996
344,"('GLCabcpp', 'HEX1', 'PGI', 'FBA')",8.471787543676527,8.33742676389078
345,"('GLCabcpp', 'HEX1', 'PGI', 'TPI')",7.6160520126613065,8.632186903807199
346,"('GLCabcpp', 'HEX1', 'PGI', 'GAPD')",5.815119802338735,6.174101370045011
347,"('GLCabcpp', 'HEX1', 'PGI', 'PGK')",5.815119802338735,5.883575747901848
