,comb,obj,obj_rand,GLCabcpp,GLCptspp,HEX1,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,PYK
186,"('HEX1', 'PFK', 'FBA')",8.581712320160147,7.878030170113486,0,0,1,0,1,1,0,0,0,0,0,0
187,"('HEX1', 'PFK', 'TPI')",7.846666138154746,7.178828904866209,0,0,1,0,1,0,1,0,0,0,0,0
188,"('HEX1', 'PFK', 'GAPD')",6.2206345018010625,5.223494214925045,0,0,1,0,1,0,0,1,0,0,0,0
189,"('HEX1', 'PFK', 'PGK')",6.220634501801062,5.766977559006177,0,0,1,0,1,0,0,0,1,0,0,0
190,"('HEX1', 'PFK', 'PGM')",6.846287701370963,7.309362270379983,0,0,1,0,1,0,0,0,0,1,0,0
191,"('HEX1', 'PFK', 'ENO')",6.846287701370963,6.947872552809976,0,0,1,0,1,0,0,0,0,0,1,0
192,"('HEX1', 'PFK', 'PYK')",8.581712320160129,8.07625601968711,0,0,1,0,1,0,0,0,0,0,0,1
193,"('HEX1', 'FBA', 'TPI')",7.846666138154893,9.141810026349765,0,0,1,0,0,1,1,0,0,0,0,0
194,"('HEX1', 'FBA', 'GAPD')",6.220634501801215,5.036146003851025,0,0,1,0,0,1,0,1,0,0,0,0
195,"('HEX1', 'FBA', 'PGK')",6.220634501801216,6.611231251735991,0,0,1,0,0,1,0,0,1,0,0,0
196,"('HEX1', 'FBA', 'PGM')",6.846287701371107,6.459590302842209,0,0,1,0,0,1,0,0,0,1,0,0
197,"('HEX1', 'FBA', 'ENO')",6.846287701371107,6.508548607436203,0,0,1,0,0,1,0,0,0,0,1,0
198,"('HEX1', 'FBA', 'PYK')",8.581712320160266,8.823953440838746,0,0,1,0,0,1,0,0,0,0,0,1
199,"('HEX1', 'TPI', 'GAPD')",0.0,1.5998978823978998,0,0,1,0,0,0,1,1,0,0,0,0
200,"('HEX1', 'TPI', 'PGK')",0.0,0.058606284182019186,0,0,1,0,0,0,1,0,1,0,0,0
201,"('HEX1', 'TPI', 'PGM')",6.844054154919365,6.004809356477001,0,0,1,0,0,0,1,0,0,1,0,0
202,"('HEX1', 'TPI', 'ENO')",6.844054154919365,7.913211808602807,0,0,1,0,0,0,1,0,0,0,1,0
203,"('HEX1', 'TPI', 'PYK')",7.846666138154795,7.811594360442727,0,0,1,0,0,0,1,0,0,0,0,1
204,"('HEX1', 'GAPD', 'PGK')",6.220634501801112,5.614163161317668,0,0,1,0,0,0,0,1,1,0,0,0
