Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
"LDH_D, PYK, TKT2",0.239585570581766,0.079413968172244,0.0794225508520821,"['LDH_D', 'PYK', 'TKT2']",0,0,0,0,0,1,0,0,1,1
"PFL, PFK, PYK",0.189214056431899,0.0627176292962914,0.0627477815296259,"['PFL', 'PFK', 'PYK']",0,0,0,0,0,0,1,1,1,0
"PFL, PFK, TKT2",0.183109211168135,0.0606941078690406,1.41479565548164,"['PFL', 'PFK', 'TKT2']",0,0,0,0,0,0,1,1,0,1
"PFL, PYK, TKT2",0.183109211168102,0.0606941078690406,1.41479565544514,"['PFL', 'PYK', 'TKT2']",0,0,0,0,0,0,1,0,1,1
"PFK, PYK, TKT2",0.239585570581761,0.0794139681724222,0.0794225508278345,"['PFK', 'PYK', 'TKT2']",0,0,0,0,0,0,0,1,1,1
"ACALD, ALCD2x, GLCabcpp, GND",0.194807480315136,0.0645716400338875,0.0645994277320491,"['ACALD', 'ALCD2x', 'GLCabcpp', 'GND']",1,1,1,1,0,0,0,0,0,0
"ACALD, ALCD2x, GLCabcpp, HEX1",0.194807480315318,0.064571640033831,0.0645994278215354,"['ACALD', 'ALCD2x', 'GLCabcpp', 'HEX1']",1,1,1,0,1,0,0,0,0,0
"ACALD, ALCD2x, GLCabcpp, LDH_D",0.194807480315499,0.0645716400338882,0.064599427779816,"['ACALD', 'ALCD2x', 'GLCabcpp', 'LDH_D']",1,1,1,0,0,1,0,0,0,0
"ACALD, ALCD2x, GLCabcpp, PFL",0.187835287643057,0.0622606067330065,0.798973498846628,"['ACALD', 'ALCD2x', 'GLCabcpp', 'PFL']",1,1,1,0,0,0,1,0,0,0
"ACALD, ALCD2x, GLCabcpp, PFK",0.194807480315533,0.0645716400338757,0.0645994277829467,"['ACALD', 'ALCD2x', 'GLCabcpp', 'PFK']",1,1,1,0,0,0,0,1,0,0
"ACALD, ALCD2x, GLCabcpp, PYK",0.194807480315348,0.0645716400339204,0.0645994277611198,"['ACALD', 'ALCD2x', 'GLCabcpp', 'PYK']",1,1,1,0,0,0,0,0,1,0
"ACALD, ALCD2x, GLCabcpp, TKT2",0.191601956884436,0.0635091321819102,0.0635291424247478,"['ACALD', 'ALCD2x', 'GLCabcpp', 'TKT2']",1,1,1,0,0,0,0,0,0,1
"ACALD, ALCD2x, GND, HEX1",0.194807480315348,0.0645716400338784,0.0645994277802048,"['ACALD', 'ALCD2x', 'GND', 'HEX1']",1,1,0,1,1,0,0,0,0,0
"ACALD, ALCD2x, GND, LDH_D",0.194807480315213,0.064571640033867,0.0645994277934247,"['ACALD', 'ALCD2x', 'GND', 'LDH_D']",1,1,0,1,0,1,0,0,0,0
"ACALD, ALCD2x, GND, PFL",0.187835287643125,0.062260606733048,0.798973498799594,"['ACALD', 'ALCD2x', 'GND', 'PFL']",1,1,0,1,0,0,1,0,0,0
"ACALD, ALCD2x, GND, PFK",0.194807480315081,0.0645716400338894,0.0645994276650937,"['ACALD', 'ALCD2x', 'GND', 'PFK']",1,1,0,1,0,0,0,1,0,0
"ACALD, ALCD2x, GND, PYK",0.194807480315281,0.0645716400337619,0.0645994277492037,"['ACALD', 'ALCD2x', 'GND', 'PYK']",1,1,0,1,0,0,0,0,1,0
"ACALD, ALCD2x, GND, TKT2",,0.0,0.0,"['ACALD', 'ALCD2x', 'GND', 'TKT2']",1,1,0,1,0,0,0,0,0,1
"ACALD, ALCD2x, HEX1, LDH_D",0.194807480315328,0.0645716400339446,0.0645994277881426,"['ACALD', 'ALCD2x', 'HEX1', 'LDH_D']",1,1,0,0,1,1,0,0,0,0
"ACALD, ALCD2x, HEX1, PFL",0.187835287643033,0.0622606067331094,0.798973498863679,"['ACALD', 'ALCD2x', 'HEX1', 'PFL']",1,1,0,0,1,0,1,0,0,0
"ACALD, ALCD2x, HEX1, PFK",0.194807480315382,0.0645716400338529,0.0645994277651095,"['ACALD', 'ALCD2x', 'HEX1', 'PFK']",1,1,0,0,1,0,0,1,0,0
"ACALD, ALCD2x, HEX1, PYK",0.194807480315006,0.0645716400338758,0.0645994278291922,"['ACALD', 'ALCD2x', 'HEX1', 'PYK']",1,1,0,0,1,0,0,0,1,0
"ACALD, ALCD2x, HEX1, TKT2",0.191601956884254,0.0635091321819134,0.0635291425292936,"['ACALD', 'ALCD2x', 'HEX1', 'TKT2']",1,1,0,0,1,0,0,0,0,1
"ACALD, ALCD2x, LDH_D, PFL",,0.0,0.0,"['ACALD', 'ALCD2x', 'LDH_D', 'PFL']",1,1,0,0,0,1,1,0,0,0
"ACALD, ALCD2x, LDH_D, PFK",0.194807480315258,0.0645716400339742,0.0645994278616456,"['ACALD', 'ALCD2x', 'LDH_D', 'PFK']",1,1,0,0,0,1,0,1,0,0
"ACALD, ALCD2x, LDH_D, PYK",0.194807480315295,0.0645716400338898,0.0645994277715085,"['ACALD', 'ALCD2x', 'LDH_D', 'PYK']",1,1,0,0,0,1,0,0,1,0
"ACALD, ALCD2x, LDH_D, TKT2",0.191601956884204,0.0635091321819246,0.0635291423510916,"['ACALD', 'ALCD2x', 'LDH_D', 'TKT2']",1,1,0,0,0,1,0,0,0,1
"ACALD, ALCD2x, PFL, PFK",0.187835287643001,0.0622606067331094,0.798973498825095,"['ACALD', 'ALCD2x', 'PFL', 'PFK']",1,1,0,0,0,0,1,1,0,0
"ACALD, ALCD2x, PFL, PYK",0.187835287643145,0.0622606067330647,0.798973498836793,"['ACALD', 'ALCD2x', 'PFL', 'PYK']",1,1,0,0,0,0,1,0,1,0
"ACALD, ALCD2x, PFL, TKT2",0.183109211168081,0.0606941078690813,1.41479565547981,"['ACALD', 'ALCD2x', 'PFL', 'TKT2']",1,1,0,0,0,0,1,0,0,1
"ACALD, ALCD2x, PFK, PYK",0.194807480314916,0.0645716400338484,0.064599427744407,"['ACALD', 'ALCD2x', 'PFK', 'PYK']",1,1,0,0,0,0,0,1,1,0
"ACALD, ALCD2x, PFK, TKT2",0.191601956884008,0.0635091321819,0.0635291424936932,"['ACALD', 'ALCD2x', 'PFK', 'TKT2']",1,1,0,0,0,0,0,1,0,1
"ACALD, ALCD2x, PYK, TKT2",0.191601956883831,0.0635091321817609,0.063529142419181,"['ACALD', 'ALCD2x', 'PYK', 'TKT2']",1,1,0,0,0,0,0,0,1,1
"ACALD, GLCabcpp, GND, HEX1",0.19480748031524,0.0645716400339147,0.0645994277773101,"['ACALD', 'GLCabcpp', 'GND', 'HEX1']",1,0,1,1,1,0,0,0,0,0
"ACALD, GLCabcpp, GND, LDH_D",0.194807480315393,0.0645716400338381,0.064599427661372,"['ACALD', 'GLCabcpp', 'GND', 'LDH_D']",1,0,1,1,0,1,0,0,0,0
"ACALD, GLCabcpp, GND, PFL",0.18921405643188,0.0627176292960662,0.0627477815737423,"['ACALD', 'GLCabcpp', 'GND', 'PFL']",1,0,1,1,0,0,1,0,0,0
"ACALD, GLCabcpp, GND, PFK",0.194807480315395,0.064571640033831,0.0645994276647251,"['ACALD', 'GLCabcpp', 'GND', 'PFK']",1,0,1,1,0,0,0,1,0,0
"ACALD, GLCabcpp, GND, PYK",0.194807480315271,0.0645716400338169,0.064599427789945,"['ACALD', 'GLCabcpp', 'GND', 'PYK']",1,0,1,1,0,0,0,0,1,0
"ACALD, GLCabcpp, GND, TKT2",,0.0,0.0,"['ACALD', 'GLCabcpp', 'GND', 'TKT2']",1,0,1,1,0,0,0,0,0,1
"ACALD, GLCabcpp, HEX1, LDH_D",0.194807480315491,0.0645716400338257,0.0645994277847409,"['ACALD', 'GLCabcpp', 'HEX1', 'LDH_D']",1,0,1,0,1,1,0,0,0,0
"ACALD, GLCabcpp, HEX1, PFL",0.189214056431653,0.0627176292961115,0.0627477817003377,"['ACALD', 'GLCabcpp', 'HEX1', 'PFL']",1,0,1,0,1,0,1,0,0,0
"ACALD, GLCabcpp, HEX1, PFK",0.194807480315517,0.0645716400337657,0.0645994277470911,"['ACALD', 'GLCabcpp', 'HEX1', 'PFK']",1,0,1,0,1,0,0,1,0,0
"ACALD, GLCabcpp, HEX1, PYK",0.194807480315467,0.0645716400338824,0.0645994278545269,"['ACALD', 'GLCabcpp', 'HEX1', 'PYK']",1,0,1,0,1,0,0,0,1,0
"ACALD, GLCabcpp, HEX1, TKT2",0.191601956884296,0.0635091321818118,0.0635291423227105,"['ACALD', 'GLCabcpp', 'HEX1', 'TKT2']",1,0,1,0,1,0,0,0,0,1
"ACALD, GLCabcpp, LDH_D, PFL",,0.0,0.0,"['ACALD', 'GLCabcpp', 'LDH_D', 'PFL']",1,0,1,0,0,1,1,0,0,0
"ACALD, GLCabcpp, LDH_D, PFK",0.194807480315344,0.0645716400338316,0.0645994277877196,"['ACALD', 'GLCabcpp', 'LDH_D', 'PFK']",1,0,1,0,0,1,0,1,0,0
"ACALD, GLCabcpp, LDH_D, PYK",0.194807480315046,0.0645716400338818,0.0645994278753482,"['ACALD', 'GLCabcpp', 'LDH_D', 'PYK']",1,0,1,0,0,1,0,0,1,0
"ACALD, GLCabcpp, LDH_D, TKT2",0.191601956884331,0.0635091321818787,0.0635291424646807,"['ACALD', 'GLCabcpp', 'LDH_D', 'TKT2']",1,0,1,0,0,1,0,0,0,1
"ACALD, GLCabcpp, PFL, PFK",0.189214056432025,0.0627176292961012,0.0627477817461757,"['ACALD', 'GLCabcpp', 'PFL', 'PFK']",1,0,1,0,0,0,1,1,0,0
"ACALD, GLCabcpp, PFL, PYK",0.189214056431765,0.062717629296176,0.0627477816374429,"['ACALD', 'GLCabcpp', 'PFL', 'PYK']",1,0,1,0,0,0,1,0,1,0
"ACALD, GLCabcpp, PFL, TKT2",0.183109211168221,0.0606941078690546,1.41479565546255,"['ACALD', 'GLCabcpp', 'PFL', 'TKT2']",1,0,1,0,0,0,1,0,0,1
"ACALD, GLCabcpp, PFK, PYK",0.19480748031532,0.0645716400338095,0.0645994277059337,"['ACALD', 'GLCabcpp', 'PFK', 'PYK']",1,0,1,0,0,0,0,1,1,0
"ACALD, GLCabcpp, PFK, TKT2",0.191601956884398,0.0635091321818281,0.0635291424159266,"['ACALD', 'GLCabcpp', 'PFK', 'TKT2']",1,0,1,0,0,0,0,1,0,1
"ACALD, GLCabcpp, PYK, TKT2",0.191601956884384,0.0635091321819981,0.063529142348386,"['ACALD', 'GLCabcpp', 'PYK', 'TKT2']",1,0,1,0,0,0,0,0,1,1
"ACALD, GND, HEX1, LDH_D",0.194807480315264,0.0645716400338432,0.0645994278240734,"['ACALD', 'GND', 'HEX1', 'LDH_D']",1,0,0,1,1,1,0,0,0,0
"ACALD, GND, HEX1, PFL",0.189214056431945,0.062717629296256,0.0627477818926287,"['ACALD', 'GND', 'HEX1', 'PFL']",1,0,0,1,1,0,1,0,0,0
"ACALD, GND, HEX1, PFK",0.194807480315194,0.0645716400339097,0.0645994279145366,"['ACALD', 'GND', 'HEX1', 'PFK']",1,0,0,1,1,0,0,1,0,0
"ACALD, GND, HEX1, PYK",0.194807480315518,0.0645716400339205,0.0645994275565419,"['ACALD', 'GND', 'HEX1', 'PYK']",1,0,0,1,1,0,0,0,1,0
"ACALD, GND, HEX1, TKT2",,0.0,0.0,"['ACALD', 'GND', 'HEX1', 'TKT2']",1,0,0,1,1,0,0,0,0,1
"ACALD, GND, LDH_D, PFL",,0.0,0.0,"['ACALD', 'GND', 'LDH_D', 'PFL']",1,0,0,1,0,1,1,0,0,0
"ACALD, GND, LDH_D, PFK",0.19480748031554,0.0645716400338623,0.0645994277710114,"['ACALD', 'GND', 'LDH_D', 'PFK']",1,0,0,1,0,1,0,1,0,0
"ACALD, GND, LDH_D, PYK",0.194807480315425,0.0645716400338757,0.0645994277478292,"['ACALD', 'GND', 'LDH_D', 'PYK']",1,0,0,1,0,1,0,0,1,0
"ACALD, GND, LDH_D, TKT2",,0.0,0.0,"['ACALD', 'GND', 'LDH_D', 'TKT2']",1,0,0,1,0,1,0,0,0,1
"ACALD, GND, PFL, PFK",0.189214056431885,0.0627176292963002,0.062747781652006,"['ACALD', 'GND', 'PFL', 'PFK']",1,0,0,1,0,0,1,1,0,0
"ACALD, GND, PFL, PYK",0.189214056432083,0.062717629296256,0.0627477817477775,"['ACALD', 'GND', 'PFL', 'PYK']",1,0,0,1,0,0,1,0,1,0
"ACALD, GND, PFL, TKT2",,0.0,0.0,"['ACALD', 'GND', 'PFL', 'TKT2']",1,0,0,1,0,0,1,0,0,1
"ACALD, GND, PFK, PYK",0.194807480315377,0.0645716400339475,0.0645994277109573,"['ACALD', 'GND', 'PFK', 'PYK']",1,0,0,1,0,0,0,1,1,0
"ACALD, GND, PFK, TKT2",,0.0,0.0,"['ACALD', 'GND', 'PFK', 'TKT2']",1,0,0,1,0,0,0,1,0,1
"ACALD, GND, PYK, TKT2",,0.0,0.0,"['ACALD', 'GND', 'PYK', 'TKT2']",1,0,0,1,0,0,0,0,1,1
"ACALD, HEX1, LDH_D, PFL",,0.0,0.0,"['ACALD', 'HEX1', 'LDH_D', 'PFL']",1,0,0,0,1,1,1,0,0,0
"ACALD, HEX1, LDH_D, PFK",0.19480748031534,0.0645716400338881,0.0645994278095997,"['ACALD', 'HEX1', 'LDH_D', 'PFK']",1,0,0,0,1,1,0,1,0,0
"ACALD, HEX1, LDH_D, PYK",0.19480748031536,0.0645716400338757,0.0645994277401231,"['ACALD', 'HEX1', 'LDH_D', 'PYK']",1,0,0,0,1,1,0,0,1,0
"ACALD, HEX1, LDH_D, TKT2",0.19160195688432,0.0635091321817637,0.0635291424485877,"['ACALD', 'HEX1', 'LDH_D', 'TKT2']",1,0,0,0,1,1,0,0,0,1
"ACALD, HEX1, PFL, PFK",0.189214056431997,0.0627176292962477,0.0627477818147768,"['ACALD', 'HEX1', 'PFL', 'PFK']",1,0,0,0,1,0,1,1,0,0
"ACALD, HEX1, PFL, PYK",0.189214056431752,0.0627176292962388,0.0627477816199497,"['ACALD', 'HEX1', 'PFL', 'PYK']",1,0,0,0,1,0,1,0,1,0
"ACALD, HEX1, PFL, TKT2",0.183109211168055,0.0606941078690712,1.41479565546096,"['ACALD', 'HEX1', 'PFL', 'TKT2']",1,0,0,0,1,0,1,0,0,1
"ACALD, HEX1, PFK, PYK",0.194807480315096,0.0645716400339475,0.0645994277413859,"['ACALD', 'HEX1', 'PFK', 'PYK']",1,0,0,0,1,0,0,1,1,0
"ACALD, HEX1, PFK, TKT2",0.191601956884275,0.0635091321818911,0.063529142262399,"['ACALD', 'HEX1', 'PFK', 'TKT2']",1,0,0,0,1,0,0,1,0,1
"ACALD, HEX1, PYK, TKT2",0.191601956884089,0.0635091321818351,0.0635291424510912,"['ACALD', 'HEX1', 'PYK', 'TKT2']",1,0,0,0,1,0,0,0,1,1
"ACALD, LDH_D, PFL, PFK",,0.0,0.0,"['ACALD', 'LDH_D', 'PFL', 'PFK']",1,0,0,0,0,1,1,1,0,0
"ACALD, LDH_D, PFL, PYK",,0.0,0.0,"['ACALD', 'LDH_D', 'PFL', 'PYK']",1,0,0,0,0,1,1,0,1,0
"ACALD, LDH_D, PFL, TKT2",,0.0,0.0,"['ACALD', 'LDH_D', 'PFL', 'TKT2']",1,0,0,0,0,1,1,0,0,1
"ACALD, LDH_D, PFK, PYK",0.194807480315422,0.0645716400337778,0.0645994278304999,"['ACALD', 'LDH_D', 'PFK', 'PYK']",1,0,0,0,0,1,0,1,1,0
"ACALD, LDH_D, PFK, TKT2",0.191601956884056,0.0635091321819287,0.063529142474895,"['ACALD', 'LDH_D', 'PFK', 'TKT2']",1,0,0,0,0,1,0,1,0,1
"ACALD, LDH_D, PYK, TKT2",0.191601956884282,0.0635091321819287,0.0635291423951284,"['ACALD', 'LDH_D', 'PYK', 'TKT2']",1,0,0,0,0,1,0,0,1,1
"ACALD, PFL, PFK, PYK",0.189214056431511,0.0627176292964002,0.0627477818408257,"['ACALD', 'PFL', 'PFK', 'PYK']",1,0,0,0,0,0,1,1,1,0
"ACALD, PFL, PFK, TKT2",0.18310921116813,0.0606941078690409,1.41479565545044,"['ACALD', 'PFL', 'PFK', 'TKT2']",1,0,0,0,0,0,1,1,0,1
"ACALD, PFL, PYK, TKT2",0.183109211168086,0.0606941078690418,1.41479565543357,"['ACALD', 'PFL', 'PYK', 'TKT2']",1,0,0,0,0,0,1,0,1,1
"ACALD, PFK, PYK, TKT2",0.191601956884428,0.0635091321818333,0.0635291423658789,"['ACALD', 'PFK', 'PYK', 'TKT2']",1,0,0,0,0,0,0,1,1,1
"ALCD2x, GLCabcpp, GND, HEX1",0.194807480315603,0.0645716400339267,0.0645994277621326,"['ALCD2x', 'GLCabcpp', 'GND', 'HEX1']",0,1,1,1,1,0,0,0,0,0
"ALCD2x, GLCabcpp, GND, LDH_D",0.194807480315122,0.0645716400336,0.0645994277380944,"['ALCD2x', 'GLCabcpp', 'GND', 'LDH_D']",0,1,1,1,0,1,0,0,0,0
"ALCD2x, GLCabcpp, GND, PFL",0.18921405643157,0.0627176292963144,0.0627477817572245,"['ALCD2x', 'GLCabcpp', 'GND', 'PFL']",0,1,1,1,0,0,1,0,0,0
"ALCD2x, GLCabcpp, GND, PFK",0.194807480315149,0.0645716400338564,0.0645994278042746,"['ALCD2x', 'GLCabcpp', 'GND', 'PFK']",0,1,1,1,0,0,0,1,0,0
"ALCD2x, GLCabcpp, GND, PYK",0.194807480315371,0.0645716400338406,0.064599427775285,"['ALCD2x', 'GLCabcpp', 'GND', 'PYK']",0,1,1,1,0,0,0,0,1,0
"ALCD2x, GLCabcpp, GND, TKT2",,0.0,0.0,"['ALCD2x', 'GLCabcpp', 'GND', 'TKT2']",0,1,1,1,0,0,0,0,0,1
"ALCD2x, GLCabcpp, HEX1, LDH_D",0.194807480315181,0.0645716400338875,0.0645994278248632,"['ALCD2x', 'GLCabcpp', 'HEX1', 'LDH_D']",0,1,1,0,1,1,0,0,0,0
"ALCD2x, GLCabcpp, HEX1, PFL",0.189214056431738,0.0627176292963414,0.0627477817452551,"['ALCD2x', 'GLCabcpp', 'HEX1', 'PFL']",0,1,1,0,1,0,1,0,0,0
"ALCD2x, GLCabcpp, HEX1, PFK",0.194807480315386,0.0645716400338757,0.0645994277074225,"['ALCD2x', 'GLCabcpp', 'HEX1', 'PFK']",0,1,1,0,1,0,0,1,0,0
"ALCD2x, GLCabcpp, HEX1, PYK",0.194807480315246,0.0645716400338222,0.0645994277238737,"['ALCD2x', 'GLCabcpp', 'HEX1', 'PYK']",0,1,1,0,1,0,0,0,1,0
"ALCD2x, GLCabcpp, HEX1, TKT2",0.191601956884691,0.0635091321818852,0.0635291424519129,"['ALCD2x', 'GLCabcpp', 'HEX1', 'TKT2']",0,1,1,0,1,0,0,0,0,1
"ALCD2x, GLCabcpp, LDH_D, PFL",,0.0,0.0,"['ALCD2x', 'GLCabcpp', 'LDH_D', 'PFL']",0,1,1,0,0,1,1,0,0,0
"ALCD2x, GLCabcpp, LDH_D, PFK",0.194807480315478,0.0645716400339198,0.0645994277228537,"['ALCD2x', 'GLCabcpp', 'LDH_D', 'PFK']",0,1,1,0,0,1,0,1,0,0
"ALCD2x, GLCabcpp, LDH_D, PYK",0.194807480315467,0.0645716400336,0.0645994277209158,"['ALCD2x', 'GLCabcpp', 'LDH_D', 'PYK']",0,1,1,0,0,1,0,0,1,0
"ALCD2x, GLCabcpp, LDH_D, TKT2",0.191601956884094,0.0635091321818841,0.0635291423956972,"['ALCD2x', 'GLCabcpp', 'LDH_D', 'TKT2']",0,1,1,0,0,1,0,0,0,1
"ALCD2x, GLCabcpp, PFL, PFK",0.189214056431425,0.0627176292961979,0.0627477815467668,"['ALCD2x', 'GLCabcpp', 'PFL', 'PFK']",0,1,1,0,0,0,1,1,0,0
"ALCD2x, GLCabcpp, PFL, PYK",0.189214056431777,0.0627176292963178,0.0627477818659098,"['ALCD2x', 'GLCabcpp', 'PFL', 'PYK']",0,1,1,0,0,0,1,0,1,0
"ALCD2x, GLCabcpp, PFL, TKT2",0.183109211168023,0.0606941078690817,1.41479565546176,"['ALCD2x', 'GLCabcpp', 'PFL', 'TKT2']",0,1,1,0,0,0,1,0,0,1
"ALCD2x, GLCabcpp, PFK, PYK",0.194807480315348,0.0645716400338127,0.0645994277642348,"['ALCD2x', 'GLCabcpp', 'PFK', 'PYK']",0,1,1,0,0,0,0,1,1,0
"ALCD2x, GLCabcpp, PFK, TKT2",0.191601956884791,0.0635091321818852,0.0635291424882315,"['ALCD2x', 'GLCabcpp', 'PFK', 'TKT2']",0,1,1,0,0,0,0,1,0,1
"ALCD2x, GLCabcpp, PYK, TKT2",0.191601956884124,0.0635091321819299,0.0635291424555109,"['ALCD2x', 'GLCabcpp', 'PYK', 'TKT2']",0,1,1,0,0,0,0,0,1,1
"ALCD2x, GND, HEX1, LDH_D",0.194807480315348,0.0645716400338757,0.0645994277321455,"['ALCD2x', 'GND', 'HEX1', 'LDH_D']",0,1,0,1,1,1,0,0,0,0
"ALCD2x, GND, HEX1, PFL",0.189214056432021,0.062717629296256,0.0627477818023202,"['ALCD2x', 'GND', 'HEX1', 'PFL']",0,1,0,1,1,0,1,0,0,0
"ALCD2x, GND, HEX1, PFK",0.194807480315324,0.0645716400338758,0.0645994277307312,"['ALCD2x', 'GND', 'HEX1', 'PFK']",0,1,0,1,1,0,0,1,0,0
"ALCD2x, GND, HEX1, PYK",0.194807480315059,0.0645716400338758,0.0645994277307312,"['ALCD2x', 'GND', 'HEX1', 'PYK']",0,1,0,1,1,0,0,0,1,0
"ALCD2x, GND, HEX1, TKT2",,0.0,0.0,"['ALCD2x', 'GND', 'HEX1', 'TKT2']",0,1,0,1,1,0,0,0,0,1
"ALCD2x, GND, LDH_D, PFL",,0.0,0.0,"['ALCD2x', 'GND', 'LDH_D', 'PFL']",0,1,0,1,0,1,1,0,0,0
"ALCD2x, GND, LDH_D, PFK",0.194807480315401,0.0645716400338757,0.0645994277598131,"['ALCD2x', 'GND', 'LDH_D', 'PFK']",0,1,0,1,0,1,0,1,0,0
"ALCD2x, GND, LDH_D, PYK",0.19480748031533,0.0645716400338757,0.0645994277598131,"['ALCD2x', 'GND', 'LDH_D', 'PYK']",0,1,0,1,0,1,0,0,1,0
"ALCD2x, GND, LDH_D, TKT2",,0.0,0.0,"['ALCD2x', 'GND', 'LDH_D', 'TKT2']",0,1,0,1,0,1,0,0,0,1
"ALCD2x, GND, PFL, PFK",0.189214056431859,0.0627176292964103,0.0627477817133215,"['ALCD2x', 'GND', 'PFL', 'PFK']",0,1,0,1,0,0,1,1,0,0
"ALCD2x, GND, PFL, PYK",0.189214056431739,0.062717629296256,0.0627477816958543,"['ALCD2x', 'GND', 'PFL', 'PYK']",0,1,0,1,0,0,1,0,1,0
"ALCD2x, GND, PFL, TKT2",,0.0,0.0,"['ALCD2x', 'GND', 'PFL', 'TKT2']",0,1,0,1,0,0,1,0,0,1
"ALCD2x, GND, PFK, PYK",0.194807480315156,0.064571640033831,0.0645994277962549,"['ALCD2x', 'GND', 'PFK', 'PYK']",0,1,0,1,0,0,0,1,1,0
"ALCD2x, GND, PFK, TKT2",,0.0,0.0,"['ALCD2x', 'GND', 'PFK', 'TKT2']",0,1,0,1,0,0,0,1,0,1
"ALCD2x, GND, PYK, TKT2",,0.0,0.0,"['ALCD2x', 'GND', 'PYK', 'TKT2']",0,1,0,1,0,0,0,0,1,1
"ALCD2x, HEX1, LDH_D, PFL",,0.0,0.0,"['ALCD2x', 'HEX1', 'LDH_D', 'PFL']",0,1,0,0,1,1,1,0,0,0
"ALCD2x, HEX1, LDH_D, PFK",0.194807480315159,0.0645716400339122,0.0645994278069091,"['ALCD2x', 'HEX1', 'LDH_D', 'PFK']",0,1,0,0,1,1,0,1,0,0
"ALCD2x, HEX1, LDH_D, PYK",0.194807480315539,0.0645716400339122,0.0645994278014624,"['ALCD2x', 'HEX1', 'LDH_D', 'PYK']",0,1,0,0,1,1,0,0,1,0
"ALCD2x, HEX1, LDH_D, TKT2",0.191601956884179,0.0635091321819066,0.0635291423991621,"['ALCD2x', 'HEX1', 'LDH_D', 'TKT2']",0,1,0,0,1,1,0,0,0,1
"ALCD2x, HEX1, PFL, PFK",0.189214056431637,0.0627176292963976,0.0627477815204136,"['ALCD2x', 'HEX1', 'PFL', 'PFK']",0,1,0,0,1,0,1,1,0,0
"ALCD2x, HEX1, PFL, PYK",0.189214056431684,0.0627176292963976,0.0627477815204136,"['ALCD2x', 'HEX1', 'PFL', 'PYK']",0,1,0,0,1,0,1,0,1,0
"ALCD2x, HEX1, PFL, TKT2",0.18310921116834,0.0606941078691857,1.41479565551457,"['ALCD2x', 'HEX1', 'PFL', 'TKT2']",0,1,0,0,1,0,1,0,0,1
"ALCD2x, HEX1, PFK, PYK",0.194807480315324,0.0645716400336249,0.0645994278179162,"['ALCD2x', 'HEX1', 'PFK', 'PYK']",0,1,0,0,1,0,0,1,1,0
"ALCD2x, HEX1, PFK, TKT2",0.191601956884193,0.0635091321818608,0.0635291424234467,"['ALCD2x', 'HEX1', 'PFK', 'TKT2']",0,1,0,0,1,0,0,1,0,1
"ALCD2x, HEX1, PYK, TKT2",0.191601956884169,0.0635091321818911,0.0635291425149721,"['ALCD2x', 'HEX1', 'PYK', 'TKT2']",0,1,0,0,1,0,0,0,1,1
"ALCD2x, LDH_D, PFL, PFK",,0.0,0.0,"['ALCD2x', 'LDH_D', 'PFL', 'PFK']",0,1,0,0,0,1,1,1,0,0
"ALCD2x, LDH_D, PFL, PYK",,0.0,0.0,"['ALCD2x', 'LDH_D', 'PFL', 'PYK']",0,1,0,0,0,1,1,0,1,0
"ALCD2x, LDH_D, PFL, TKT2",,0.0,0.0,"['ALCD2x', 'LDH_D', 'PFL', 'TKT2']",0,1,0,0,0,1,1,0,0,1
"ALCD2x, LDH_D, PFK, PYK",0.194807480315214,0.0645716400339193,0.0645994277781024,"['ALCD2x', 'LDH_D', 'PFK', 'PYK']",0,1,0,0,0,1,0,1,1,0
"ALCD2x, LDH_D, PFK, TKT2",0.191601956883972,0.0635091321818921,0.0635291424744081,"['ALCD2x', 'LDH_D', 'PFK', 'TKT2']",0,1,0,0,0,1,0,1,0,1
"ALCD2x, LDH_D, PYK, TKT2",0.191601956884108,0.0635091321819089,0.0635291424298483,"['ALCD2x', 'LDH_D', 'PYK', 'TKT2']",0,1,0,0,0,1,0,0,1,1
"ALCD2x, PFL, PFK, PYK",0.189214056431711,0.0627176292963574,0.0627477817191405,"['ALCD2x', 'PFL', 'PFK', 'PYK']",0,1,0,0,0,0,1,1,1,0
"ALCD2x, PFL, PFK, TKT2",0.183109211167965,0.0606941078690918,1.41479565544963,"['ALCD2x', 'PFL', 'PFK', 'TKT2']",0,1,0,0,0,0,1,1,0,1
"ALCD2x, PFL, PYK, TKT2",0.183109211168165,0.0606941078691655,1.41479565542754,"['ALCD2x', 'PFL', 'PYK', 'TKT2']",0,1,0,0,0,0,1,0,1,1
"ALCD2x, PFK, PYK, TKT2",0.19160195688423,0.0635091321818907,0.0635291423540888,"['ALCD2x', 'PFK', 'PYK', 'TKT2']",0,1,0,0,0,0,0,1,1,1
"GLCabcpp, GND, HEX1, LDH_D",0.241501557097135,0.0800490531963518,0.0800559410447102,"['GLCabcpp', 'GND', 'HEX1', 'LDH_D']",0,0,1,1,1,1,0,0,0,0
"GLCabcpp, GND, HEX1, PFL",0.189214056432269,0.0627176292963261,0.0627477817040143,"['GLCabcpp', 'GND', 'HEX1', 'PFL']",0,0,1,1,1,0,1,0,0,0
"GLCabcpp, GND, HEX1, PFK",0.241501557097286,0.0800490531962534,0.0800559410684841,"['GLCabcpp', 'GND', 'HEX1', 'PFK']",0,0,1,1,1,0,0,1,0,0
