Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
"ACALD, GND, LDH_D",0.194807480315154,0.0645716400338757,0.0645994277478292,"['ACALD', 'GND', 'LDH_D']",1,0,0,1,0,1,0,0,0,0
"ACALD, GND, PFL",0.189214056432071,0.062717629296256,0.0627477817286976,"['ACALD', 'GND', 'PFL']",1,0,0,1,0,0,1,0,0,0
"ACALD, GND, PFK",0.194807480315283,0.0645716400338339,0.0645994278633002,"['ACALD', 'GND', 'PFK']",1,0,0,1,0,0,0,1,0,0
"ACALD, GND, PYK",0.194807480315318,0.0645716400338459,0.0645994276690406,"['ACALD', 'GND', 'PYK']",1,0,0,1,0,0,0,0,1,0
"ACALD, GND, TKT2",,0.0,0.0,"['ACALD', 'GND', 'TKT2']",1,0,0,1,0,0,0,0,0,1
"ACALD, HEX1, LDH_D",0.194807480315343,0.0645716400338757,0.0645994277230509,"['ACALD', 'HEX1', 'LDH_D']",1,0,0,0,1,1,0,0,0,0
"ACALD, HEX1, PFL",0.189214056431785,0.0627176292962388,0.0627477816199497,"['ACALD', 'HEX1', 'PFL']",1,0,0,0,1,0,1,0,0,0
"ACALD, HEX1, PFK",0.194807480315131,0.0645716400339475,0.0645994276527481,"['ACALD', 'HEX1', 'PFK']",1,0,0,0,1,0,0,1,0,0
"ACALD, HEX1, PYK",0.194807480315337,0.0645716400339112,0.0645994276704695,"['ACALD', 'HEX1', 'PYK']",1,0,0,0,1,0,0,0,1,0
"ACALD, HEX1, TKT2",0.191601956884089,0.0635091321818911,0.063529142262399,"['ACALD', 'HEX1', 'TKT2']",1,0,0,0,1,0,0,0,0,1
"ACALD, LDH_D, PFL",,0.0,0.0,"['ACALD', 'LDH_D', 'PFL']",1,0,0,0,0,1,1,0,0,0
"ACALD, LDH_D, PFK",0.194807480315419,0.0645716400337778,0.0645994278252355,"['ACALD', 'LDH_D', 'PFK']",1,0,0,0,0,1,0,1,0,0
"ACALD, LDH_D, PYK",0.194807480315354,0.0645716400338757,0.0645994277778386,"['ACALD', 'LDH_D', 'PYK']",1,0,0,0,0,1,0,0,1,0
"ACALD, LDH_D, TKT2",0.191601956884282,0.0635091321819287,0.063529142474895,"['ACALD', 'LDH_D', 'TKT2']",1,0,0,0,0,1,0,0,0,1
"ACALD, PFL, PFK",0.189214056431511,0.0627176292963229,0.0627477816692964,"['ACALD', 'PFL', 'PFK']",1,0,0,0,0,0,1,1,0,0
"ACALD, PFL, PYK",0.18921405643183,0.0627176292962388,0.0627477818514842,"['ACALD', 'PFL', 'PYK']",1,0,0,0,0,0,1,0,1,0
"ACALD, PFL, TKT2",0.18310921116813,0.0606941078690418,1.41479565543357,"['ACALD', 'PFL', 'TKT2']",1,0,0,0,0,0,1,0,0,1
"ACALD, PFK, PYK",0.194807480315309,0.0645716400339475,0.064599427746684,"['ACALD', 'PFK', 'PYK']",1,0,0,0,0,0,0,1,1,0
"ACALD, PFK, TKT2",0.191601956884428,0.0635091321819358,0.063529142440005,"['ACALD', 'PFK', 'TKT2']",1,0,0,0,0,0,0,1,0,1
"ACALD, PYK, TKT2",0.191601956883979,0.0635091321819367,0.0635291424234136,"['ACALD', 'PYK', 'TKT2']",1,0,0,0,0,0,0,0,1,1
"ALCD2x, GLCabcpp, GND",0.194807480315443,0.0645716400338406,0.0645994278656911,"['ALCD2x', 'GLCabcpp', 'GND']",0,1,1,1,0,0,0,0,0,0
"ALCD2x, GLCabcpp, HEX1",0.194807480315394,0.0645716400338758,0.0645994276998744,"['ALCD2x', 'GLCabcpp', 'HEX1']",0,1,1,0,1,0,0,0,0,0
"ALCD2x, GLCabcpp, LDH_D",0.194807480315645,0.0645716400336,0.0645994276993511,"['ALCD2x', 'GLCabcpp', 'LDH_D']",0,1,1,0,0,1,0,0,0,0
"ALCD2x, GLCabcpp, PFL",0.189214056431802,0.0627176292963007,0.0627477819466487,"['ALCD2x', 'GLCabcpp', 'PFL']",0,1,1,0,0,0,1,0,0,0
"ALCD2x, GLCabcpp, PFK",0.194807480315028,0.0645716400338294,0.0645994277132027,"['ALCD2x', 'GLCabcpp', 'PFK']",0,1,1,0,0,0,0,1,0,0
"ALCD2x, GLCabcpp, PYK",0.194807480315123,0.0645716400338529,0.0645994278696676,"['ALCD2x', 'GLCabcpp', 'PYK']",0,1,1,0,0,0,0,0,1,0
"ALCD2x, GLCabcpp, TKT2",0.191601956884347,0.0635091321818852,0.0635291424326169,"['ALCD2x', 'GLCabcpp', 'TKT2']",0,1,1,0,0,0,0,0,0,1
